team,week,win,points_scored,points_given_up
MIN,13,0.0,30.0,37.0
CHI,14,1.0,31.0,24.0
DAL,14,0.0,24.0,31.0
BUF,14,0.0,17.0,24.0
BAL,14,1.0,24.0,17.0
ATL,14,1.0,40.0,20.0
CAR,14,0.0,20.0,40.0
TB,14,1.0,38.0,35.0
IND,14,0.0,35.0,38.0
NYJ,14,1.0,22.0,21.0
MIA,14,0.0,21.0,22.0
NO,14,0.0,46.0,48.0
SF,14,1.0,48.0,46.0
MIN,14,1.0,20.0,7.0
DET,14,0.0,7.0,20.0
HOU,14,0.0,24.0,38.0
DEN,14,1.0,38.0,24.0
GB,14,1.0,20.0,15.0
WAS,14,0.0,15.0,20.0
CLE,14,1.0,27.0,19.0
CIN,14,0.0,19.0,27.0
JAX,14,0.0,10.0,45.0
LAC,14,1.0,45.0,10.0
OAK,14,0.0,21.0,42.0
TEN,14,1.0,42.0,21.0
NE,14,0.0,16.0,23.0
KC,14,1.0,23.0,16.0
ARI,14,0.0,17.0,23.0
PIT,14,1.0,23.0,17.0
LA,14,1.0,28.0,12.0
SEA,14,0.0,12.0,28.0
PHI,14,1.0,23.0,17.0
NYG,14,0.0,17.0,23.0
BAL,15,1.0,42.0,21.0
NYJ,15,0.0,21.0,42.0
CIN,15,0.0,13.0,34.0
NE,15,1.0,34.0,13.0
CAR,15,0.0,24.0,30.0
SEA,15,1.0,30.0,24.0
WAS,15,0.0,27.0,37.0
PHI,15,1.0,37.0,27.0
TEN,15,0.0,21.0,24.0
HOU,15,1.0,24.0,21.0
NYG,15,1.0,36.0,20.0
MIA,15,0.0,20.0,36.0
KC,15,1.0,23.0,3.0
DEN,15,0.0,3.0,23.0
GB,15,1.0,21.0,13.0
CHI,15,0.0,13.0,21.0
DET,15,0.0,17.0,38.0
TB,15,1.0,38.0,17.0
LAC,15,0.0,10.0,39.0
MIN,15,1.0,39.0,10.0
OAK,15,0.0,16.0,20.0
JAX,15,1.0,20.0,16.0
ARI,15,1.0,38.0,24.0
CLE,15,0.0,24.0,38.0
SF,15,0.0,22.0,29.0
ATL,15,1.0,29.0,22.0
DAL,15,1.0,44.0,21.0
LA,15,0.0,21.0,44.0
PIT,15,0.0,10.0,17.0
BUF,15,1.0,17.0,10.0
NO,15,1.0,34.0,7.0
IND,15,0.0,7.0,34.0
TB,16,0.0,20.0,23.0
HOU,16,1.0,23.0,20.0
NE,16,1.0,24.0,17.0
BUF,16,0.0,17.0,24.0
SF,16,1.0,34.0,31.0
LA,16,0.0,31.0,34.0
WAS,16,0.0,35.0,41.0
NYG,16,1.0,41.0,35.0
TEN,16,0.0,28.0,38.0
NO,16,1.0,38.0,28.0
NYJ,16,1.0,16.0,10.0
PIT,16,0.0,10.0,16.0
MIA,16,1.0,38.0,35.0
CIN,16,0.0,35.0,38.0
IND,16,1.0,38.0,6.0
CAR,16,0.0,6.0,38.0
CLE,16,0.0,15.0,31.0
BAL,16,1.0,31.0,15.0
ATL,16,1.0,24.0,12.0
JAX,16,0.0,12.0,24.0
LAC,16,0.0,17.0,24.0
OAK,16,1.0,24.0,17.0
DEN,16,1.0,27.0,17.0
DET,16,0.0,17.0,27.0
SEA,16,0.0,13.0,27.0
ARI,16,1.0,27.0,13.0
PHI,16,1.0,17.0,9.0
DAL,16,0.0,9.0,17.0
CHI,16,0.0,3.0,26.0
KC,16,1.0,26.0,3.0
MIN,16,0.0,10.0,23.0
GB,16,1.0,23.0,10.0
